Surname,count,percent,min_rank,cume_dist
青柳,837,0.046867230790594745,379,0.5554090096427211
西本,836,0.04681123648857492,380,0.556874468771066
横井,833,0.04664325358251545,381,0.5583399278994109
松島,831,0.04653126497847579,382,0.5598053870277558
梶原,827,0.046307287770396485,383,0.5627363052844456
亀井,827,0.046307287770396485,383,0.5627363052844456
大田,826,0.046251293468376656,385,0.5656672235411354
沢田,826,0.046251293468376656,385,0.5656672235411354
黒木,823,0.04608331056231718,387,0.5671326826694804
竹下,818,0.04580333905221805,388,0.5685981417978252
星,812,0.045467373240099085,389,0.5700636009261701
古谷,809,0.04529939033403961,390,0.5715290600545151
小谷,806,0.04513140742798013,391,0.5744599783112049
藤野,806,0.04513140742798013,391,0.5744599783112049
村瀬,802,0.04490743021990082,393,0.5759254374395498
浅田,798,0.04468345301182152,394,0.5803218148245846
竹本,798,0.04468345301182152,394,0.5803218148245846
畠山,798,0.04468345301182152,394,0.5803218148245846
長野,797,0.044627458709801684,397,0.5817872739529295
大内,794,0.04445947580374221,398,0.5832527330812745
緒方,792,0.04434748719970256,399,0.5847181922096193
下村,791,0.04429149289768273,400,0.5876491104663091
川本,791,0.04429149289768273,400,0.5876491104663091
吉本,787,0.044067515689603425,402,0.5920454878513438
竹村,787,0.044067515689603425,402,0.5920454878513438
廣田,787,0.044067515689603425,402,0.5920454878513438
藤川,786,0.044011521387583595,405,0.5935109469796888
宮原,784,0.04389953278354395,406,0.5949764061080337
大場,783,0.04384353848152412,407,0.5964418652363785
越智,782,0.04378754417950429,408,0.5993727834930683
福本,782,0.04378754417950429,408,0.5993727834930683
篠崎,781,0.04373154987748447,410,0.6008382426214133
下田,780,0.04367555557546464,411,0.6037691608781032
川原,780,0.04367555557546464,411,0.6037691608781032
臼井,777,0.04350757266940516,413,0.605234620006448
小嶋,776,0.043451578367385335,414,0.6081655382631378
田原,776,0.043451578367385335,414,0.6081655382631378
北原,775,0.043395584065365506,416,0.6096309973914827
大原,773,0.04328359546132586,417,0.6125619156481725
入江,773,0.04328359546132586,417,0.6125619156481725
宮内,771,0.0431716068572862,419,0.6140273747765175
加納,768,0.04300362395122673,420,0.6169582930332074
鶴田,768,0.04300362395122673,420,0.6169582930332074
谷川,766,0.04289163534718707,422,0.6184237521615522
筒井,765,0.042835641045167246,423,0.6198892112898972
石崎,763,0.042723652441127594,424,0.621354670418242
高松,759,0.04249967523304829,425,0.6228201295465869
福岡,758,0.04244368093102846,426,0.6242855886749319
池上,757,0.04238768662900863,427,0.6257510478032768
志村,753,0.04216370942092933,428,0.6272165069316217
稲田,751,0.042051720816889675,429,0.6286819660599666
篠田,749,0.04193973221285002,430,0.6301474251883115
笠井,748,0.04188373791083019,431,0.6330783434450012
武井,748,0.04188373791083019,431,0.6330783434450012
杉原,744,0.04165976070275089,433,0.6345438025733462
吉澤,742,0.04154777209871123,434,0.6360092617016911
庄司,740,0.041435783494671585,435,0.6374747208300361
片桐,737,0.041267800588612104,436,0.638940179958381
大平,734,0.04109981768255262,437,0.6404056390867259
平岡,733,0.0410438233805328,438,0.6418710982150708
松野,731,0.04093183477649314,439,0.6433365573434157
小出,730,0.04087584047447332,440,0.6448020164717606
溝口,727,0.04070785756841384,441,0.6462674756001054
井出,724,0.04053987466235436,442,0.6506638529851403
宮澤,724,0.04053987466235436,442,0.6506638529851403
菅,724,0.04053987466235436,442,0.6506638529851403
磯部,721,0.04037189175629488,445,0.6521293121134851
倉田,720,0.04031589745427505,446,0.6550602303701749
大沢,720,0.04031589745427505,446,0.6550602303701749
